in_btc,out_btc,total_btc,mean_in_btc,mean_out_btc,is_fraud,vin_sz,vout_sz,size,fee,time,sat_per_byte
0.0010374539788722116,0.0010374539896353193,0.0010374522348482497,0.0010374539788722116,0.0020749079792706385,0.0,0.0,0.0,0.0005108263920019182,0.0,0.24696644602303053,0.0
0.0010374539788722116,0.0010374539896353193,0.0010374522348482497,0.0010374539788722116,0.0020749079792706385,0.0,0.0,0.0,0.001188453238535075,0.0,0.32515005320830603,0.0
5.602251485909943e-05,5.6022515440307244e-05,5.6020764025482734e-05,5.602251485909943e-05,5.6022515440307244e-05,0.0,0.0,0.00036114120621162876,0.0015429042044139568,0.0,0.20494588991293483,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.1574843924952809,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.1407460100698792,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.0,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.20078377771755918,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.15729794370299288,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.14072424831509878,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.30993941524752167,0.0
0.20749079577444235,0.20749079792706385,0.20749079546289328,0.20749079577444235,0.4149815958541277,0.0,0.0,0.0,0.001188453238535075,0.0,0.31130386504658425,0.0
0.0006533885158937189,0.000653388522672324,0.0006533867692049215,0.0006533885158937189,0.000653388522672324,0.0,0.0,0.00036114120621162876,0.0015429042044139568,0.0,0.2049890670275225,0.0
1.3486901725338752e-05,1.2449447875623831e-05,1.2966423603553738e-05,1.3486901725338752e-05,2.4898895751247662e-05,0.0,0.0,0.00036114120621162876,0.0015324791760057547,0.0,0.25663442481121557,0.0
0.0010374539788722116,0.0010374539896353193,0.0010374522348482497,0.0010374539788722116,0.0020749079792706385,0.0,0.0,0.0,0.0005004013635937158,0.0,0.19220199168415775,0.0
0.003112361936616635,0.0,0.0015561792278835386,0.003112361936616635,0.0,0.0,0.0,0.0,0.0011988782669432772,0.0,0.2431902857482786,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.24720575740503925,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.1645897616486085,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.14893581962694924,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.14103251267292904,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.3150767040048308,0.0
4.149815915488847e-07,4.1498159585412774e-07,4.1323037209974414e-07,2.0749079577444234e-07,8.299631917082555e-07,0.0,0.0018796992481203006,0.0,0.0030545333236033072,0.0,0.2973019349881305,0.0
2.0749079577444234e-05,2.0749079792706385e-05,2.0747328499083075e-05,2.0749079577444234e-05,4.149815958541277e-05,0.0,0.0,0.0,0.0011780282101268725,0.0,0.2662212792551113,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.16359350253772398,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002710507386132627,0.0,0.27533077425783326,0.0
0.017429226845053155,0.017325481626909833,0.017377352515459854,0.017429226845053155,0.03465096325381967,0.0,0.0,0.00036114120621162876,0.0015533292328221593,0.0,0.25551689349945406,0.0
2.1164061168993118e-05,1.991911660099813e-05,2.053983770186896e-05,2.1164061168993118e-05,3.983823320199626e-05,0.0,0.0,0.00036114120621162876,0.0015324791760057547,0.010309278350515464,0.2634342328459134,0.1
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.2549453893382374,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.26210264302488895,0.0
3.423598130278298e-05,3.3198527668330217e-05,3.37155033249653e-05,3.423598130278298e-05,6.639705533666043e-05,0.0,0.0,0.00036114120621162876,0.0015429042044139568,0.0,0.2559626155330825,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.00026062571020506035,0.0,0.24801835246753612,0.0
0.0,0.0010374539896353193,0.0005187252418129605,0.0,0.0020749079792706385,0.0,0.0,0.0,0.0002502006817968578,0.0,0.16221104020006116,0.0
0.0020749079577444232,0.0020749079792706385,0.0020749062209188276,0.0010374539788722116,0.004149815958541277,0.0,0.0018796992481203006,0.0,0.0016784295737205881,0.0,0.2874254671784868,0.0
